Algorithm,Time (s),CO2 Emission (kg),Nodes,Repetition
Dijkstra Clássico,1.1319549083709717,1.6245185044534992e-06,1000,1
Dijkstra com Min-Heap,0.8509323596954346,1.2214202205659238e-06,1000,1
NetworkX Dijkstra,2.8371784687042236,4.070310692316448e-06,1000,1
Dijkstra Clássico,1.1424651145935059,1.6396026139281071e-06,1000,2
Dijkstra com Min-Heap,0.8653597831726074,1.2420761785425436e-06,1000,2
NetworkX Dijkstra,2.0613839626312256,2.9574682597202057e-06,1000,2
Dijkstra Clássico,1.5550854206085205,2.2312790066600957e-06,1000,3
Dijkstra com Min-Heap,1.340240240097046,1.9259019084195877e-06,1000,3
NetworkX Dijkstra,2.0521433353424072,2.9443222136227504e-06,1000,3
Dijkstra Clássico,1.1422557830810547,1.6392605604035176e-06,1000,4
Dijkstra com Min-Heap,0.8572325706481934,1.230448913847359e-06,1000,4
NetworkX Dijkstra,2.73205828666687,3.9196358192820935e-06,1000,4
Dijkstra Clássico,1.1616575717926025,1.6670081827150406e-06,1000,5
Dijkstra com Min-Heap,0.8684265613555908,1.2465606445001196e-06,1000,5
NetworkX Dijkstra,2.012308120727539,2.8871524021119595e-06,1000,5
Dijkstra Clássico,1.13081693649292,1.6228737901448392e-06,1000,6
Dijkstra com Min-Heap,1.1015007495880127,1.580840222042036e-06,1000,6
NetworkX Dijkstra,2.0581352710723877,2.952843923168877e-06,1000,6
Dijkstra Clássico,1.1894991397857666,1.706948197476625e-06,1000,7
Dijkstra com Min-Heap,0.8574244976043701,1.2307188348513963e-06,1000,7
NetworkX Dijkstra,2.2695987224578857,3.2560695160321724e-06,1000,7
Dijkstra Clássico,1.3822848796844482,1.983430794487735e-06,1000,8
Dijkstra com Min-Heap,0.8761897087097168,1.2576967848261966e-06,1000,8
NetworkX Dijkstra,2.0532453060150146,2.945870336058197e-06,1000,8
Dijkstra Clássico,1.1508243083953857,1.6515128368150608e-06,1000,9
Dijkstra com Min-Heap,1.0355989933013916,1.4861962095399947e-06,1000,9
NetworkX Dijkstra,2.228174924850464,3.1966556403581084e-06,1000,9
Dijkstra Clássico,1.147273302078247,1.6464649779880334e-06,1000,10
Dijkstra com Min-Heap,0.846360445022583,1.2148734924602743e-06,1000,10
NetworkX Dijkstra,2.0618836879730225,2.95823460919132e-06,1000,10
Dijkstra Clássico,1.7633776664733887,2.5301186227359545e-06,1000,11
Dijkstra com Min-Heap,0.8358755111694336,1.199892613212832e-06,1000,11
NetworkX Dijkstra,2.0436460971832275,2.932035847677587e-06,1000,11
Dijkstra Clássico,1.1538634300231934,1.6559155173269619e-06,1000,12
Dijkstra com Min-Heap,0.8715081214904785,1.2509092531443356e-06,1000,12
NetworkX Dijkstra,2.5839760303497314,3.706965947938674e-06,1000,12
Dijkstra Clássico,1.1527643203735352,1.6542711257906976e-06,1000,13
Dijkstra com Min-Heap,0.8697285652160645,1.2484095635427383e-06,1000,13
NetworkX Dijkstra,2.021418571472168,2.900243312135294e-06,1000,13
Dijkstra Clássico,1.7363002300262451,2.491202734861209e-06,1000,14
Dijkstra com Min-Heap,0.867340087890625,1.2450753711492924e-06,1000,14
NetworkX Dijkstra,2.0522971153259277,2.9445486340080633e-06,1000,14
Dijkstra Clássico,1.1405460834503174,1.6368867498218744e-06,1000,15
Dijkstra com Min-Heap,0.8787901401519775,1.2613937401699168e-06,1000,15
NetworkX Dijkstra,2.810199737548828,4.031416207289174e-06,1000,15
Dijkstra Clássico,1.1369247436523438,1.6315926215927532e-06,1000,16
Dijkstra com Min-Heap,0.8576521873474121,1.2310554191335702e-06,1000,16
NetworkX Dijkstra,2.0399909019470215,2.926868861079138e-06,1000,16
Dijkstra Clássico,1.5450115203857422,2.216905723541433e-06,1000,17
Dijkstra com Min-Heap,0.8735706806182861,1.2541339980105173e-06,1000,17
NetworkX Dijkstra,2.0370938777923584,2.9226886834242226e-06,1000,17
Dijkstra Clássico,1.1418070793151855,1.6386050157997433e-06,1000,18
Dijkstra com Min-Heap,0.8473618030548096,1.21630736006311e-06,1000,18
NetworkX Dijkstra,2.906163454055786,4.169126536348203e-06,1000,18
Dijkstra Clássico,1.1451518535614014,1.6434128214326829e-06,1000,19
Dijkstra com Min-Heap,0.8555459976196289,1.2281740348653951e-06,1000,19
NetworkX Dijkstra,2.038877248764038,2.925326794489591e-06,1000,19
Dijkstra Clássico,1.3006718158721924,1.8663855862287697e-06,1000,20
Dijkstra com Min-Heap,1.0614478588104248,1.5233384761969526e-06,1000,20
NetworkX Dijkstra,2.0351691246032715,2.9199186668596884e-06,1000,20
Dijkstra Clássico,36.99986743927002,5.3061956525315727e-05,5000,1
Dijkstra com Min-Heap,28.398453950881958,4.073103165766139e-05,5000,1
NetworkX Dijkstra,59.44641423225403,8.524282641933324e-05,5000,1
Dijkstra Clássico,37.01092529296875,5.307494818000996e-05,5000,2
Dijkstra com Min-Heap,27.888915300369263,3.9996194775192904e-05,5000,2
NetworkX Dijkstra,61.37733173370361,8.80191385478442e-05,5000,2
Dijkstra Clássico,37.46888279914856,5.373459009331733e-05,5000,3
Dijkstra com Min-Heap,28.890483856201172,4.1433668876173234e-05,5000,3
NetworkX Dijkstra,59.88561773300171,8.587694233974344e-05,5000,3
Dijkstra Clássico,37.845972537994385,5.4276842992677054e-05,5000,4
Dijkstra com Min-Heap,27.995190620422363,4.0145788326788453e-05,5000,4
NetworkX Dijkstra,63.321563959121704,9.080904302116925e-05,5000,4
Dijkstra Clássico,37.385836124420166,5.36155989190101e-05,5000,5
Dijkstra com Min-Heap,28.567066431045532,4.0968510940615905e-05,5000,5
NetworkX Dijkstra,60.46337580680847,8.669857161202754e-05,5000,5
Dijkstra Clássico,37.11353635787964,5.3220774725714484e-05,5000,6
Dijkstra com Min-Heap,27.90527081489563,4.001966341965366e-05,5000,6
NetworkX Dijkstra,60.96126699447632,8.741257885476933e-05,5000,6
Dijkstra Clássico,37.540522813797,5.383433868125481e-05,5000,7
Dijkstra com Min-Heap,29.687583923339844,4.2574487050291194e-05,5000,7
NetworkX Dijkstra,61.08457565307617,8.759651992603336e-05,5000,7
Dijkstra Clássico,37.01992607116699,5.309070089060611e-05,5000,8
Dijkstra com Min-Heap,28.670849800109863,4.112000420786003e-05,5000,8
NetworkX Dijkstra,60.72935628890991,8.70855969347264e-05,5000,8
Dijkstra Clássico,37.81720447540283,5.422872618368315e-05,5000,9
Dijkstra com Min-Heap,29.20404076576233,4.187951126446032e-05,5000,9
NetworkX Dijkstra,61.2459933757782,8.78211928938994e-05,5000,9
Dijkstra Clássico,37.422341108322144,5.3667780070770335e-05,5000,10
Dijkstra com Min-Heap,29.295209407806396,4.20172959310866e-05,5000,10
NetworkX Dijkstra,62.26702523231506,8.929384244393499e-05,5000,10
Dijkstra Clássico,37.001274824142456,5.3063942438136825e-05,5000,11
Dijkstra com Min-Heap,28.99980854988098,4.15880275050884e-05,5000,11
NetworkX Dijkstra,60.20923447608948,8.634243713577814e-05,5000,11
Dijkstra Clássico,36.84154462814331,5.2827946153277824e-05,5000,12
